Symbol,Daily Return (%),Close,Date
&CL_CCB,9.424443,78.14,2026-07-13
ETHUSD,6.25223,1875.32,2026-07-14
MSTR,5.950058,97.58,2026-07-14
NVDA,4.0632854,211.8,2026-07-14
$SPCMC,4.0474916,5762.66,2026-07-14
BTCUSD,3.8443475,64538.41,2026-07-14
$SPCBDM,3.738137,3524.97,2026-07-14
$SPCBXM,2.5221083,1605.65,2026-07-14
$XIN9,2.3281357,15379.54,2026-07-14
GOOG,1.8992137,357.33,2026-07-14
GME,1.8157041,22.43,2026-07-14
XAGJPY,1.6905258,9517.48,2026-07-14
XAGUSD,1.6825627,58.62,2026-07-14
XAGGBP,1.5060277,43.81,2026-07-14
XAGEUR,1.4816278,51.37,2026-07-14
$SSEC,1.3628694,3967.13,2026-07-14
XAUUSD,1.2947909,4052.45,2026-07-14
BRLUSD,1.2840254,0.1972,2026-07-14
$KO,1.2467742,1092.23,2026-07-14
USDRUB,1.2072349,77.546,2026-07-14
XAUJPY,1.1532832,657291.0,2026-07-14
XAGCHF,1.129339,47.46,2026-07-14
XAGCAD,1.103484,82.46,2026-07-14
$NDX,1.1009717,29586.29,2026-07-14
NZDUSD,1.0960286,0.5811,2026-07-14
XAGAUD,0.99675983,84.1,2026-07-14
NOKUSD,0.9781884,0.10323,2026-07-14
NZDJPY,0.97471726,94.27,2026-07-14
XAUGBP,0.95434964,3025.39,2026-07-14
XAUEUR,0.95238286,3547.81,2026-07-14
EURINR,0.942799,109.851,2026-07-14
AUDHKD,0.8412652,5.466,2026-07-14
AUDUSD,0.8386277,0.6974,2026-07-14
$MXX,0.82036304,66514.3,2026-07-14
CLPUSD,0.74626344,0.00108,2026-07-14
$N225,0.74472505,67743.5,2026-07-14
NZDGBP,0.7424581,0.4342,2026-07-14
NZDEUR,0.7320969,0.5091,2026-07-14
HUFUSD,0.7269261,0.003187,2026-07-14
ILSUSD,0.7266154,0.3327,2026-07-14
AUDJPY,0.72108746,113.14,2026-07-14
CADUSD,0.7077134,0.7115,2026-07-14
CHFUSD,0.6759465,1.2362,2026-07-14
META,0.65628153,661.04,2026-07-14
NOKGBP,0.65274286,0.0771,2026-07-14
NOKEUR,0.6457419,0.0904,2026-07-14
USDINR,0.6065616,96.2,2026-07-14
CZKUSD,0.5972702,0.04716,2026-07-14
AUDSGD,0.5921838,0.9003,2026-07-14
XAUCHF,0.58775413,3277.34,2026-07-14
ZARUSD,0.57622397,0.06109,2026-07-14
KRWUSD,0.5705702,0.00067156,2026-07-14
XAUCAD,0.56334174,5694.52,2026-07-14
MXNUSD,0.5606144,0.0574,2026-07-14
CADJPY,0.5490717,115.37,2026-07-14
$XIN0,0.5487332,15382.86,2026-07-14
CHFJPY,0.5469475,200.38,2026-07-14
PLNUSD,0.5327222,0.2642,2026-07-14
EURMYR,0.5313411,4.6544,2026-07-14
