Symbol,Streak (days),Daily Return (%),Close,Date
USDTRY,11,0.105882704,47.0838,2026-07-16
EURNZD,-7,-0.04594195,1.9579,2026-07-16
CHFNZD,-7,-0.28288952,2.1149,2026-07-16
NZDCHF,7,0.28419974,0.47284,2026-07-16
NZDEUR,7,0.058763992,0.5108,2026-07-16
$XIN0,5,1.6773218,15817.85,2026-07-16
$OMNX40,-5,-0.04043713,2694.67,2026-07-16
$HS,5,1.3269264,25008.6,2026-07-16
AUDZAR,5,0.31233186,11.4658,2026-07-16
KRWUSD,5,0.38314125,0.00067596,2026-07-16
USDKRW,-5,-0.37710273,1479.4,2026-07-16
ZARAUD,-5,-0.34285444,0.0872,2026-07-16
