Symbol,Z-Score,Daily Return (%),Close,Date
&KE_CCB,3.255435836963385,4.684247,754.25,2026-08-14
$KO,1.532642723845309,2.5148485,1098.18,2026-08-14
&ZC_CCB,1.419453751058769,2.455357,459.0,2026-08-14
NOKUSD,1.2741789215400474,0.9127209,0.10614,2026-08-14
NOKCHF,1.2563485030055126,0.7823458,0.08631,2026-08-14
NZDCHF,1.178814367753904,0.61494887,0.47939,2026-08-14
NZDAUD,1.1015346877223364,0.3495666,0.8325,2026-08-14
TWDUSD,1.0807765551024786,0.3533581,0.03124,2026-08-14
NZDUSD,1.0720509220571934,0.6494675,0.5889,2026-08-14
CADUSD,1.0159176484777368,0.41788843,0.7209,2026-08-14
NOKEUR,1.012248894080598,0.5479463,0.09175,2026-08-14
NOKGBP,1.000659161120378,0.57692325,0.07845,2026-08-14
USDRUB,0.9708613622413793,1.4156765,84.246,2026-08-14
EURCHF,0.9145624468723673,0.2771575,0.9407,2026-08-14
EURSGD,0.8817867862463861,0.26427674,1.4796,2026-08-14
DKKUSD,0.8624731453141564,0.38910198,0.1548,2026-08-14
NZDJPY,0.8274145676711531,0.53584826,93.81,2026-08-14
EURHKD,0.8245047803353872,0.3681677,9.0782,2026-08-14
$TDX,0.8222462696930222,1.052147,4105.87,2026-08-14
&PL_CCB,0.8088465239778235,1.4259366,1756.9,2026-08-14
EURUSD,0.8068039247871905,0.3643707,1.1569,2026-08-14
NZDEUR,0.7927385765521636,0.3742284,0.5096,2026-08-14
NZDGBP,0.7926090800972717,0.39170825,0.4357,2026-08-14
SEKUSD,0.7765565637982985,0.48775795,0.10507,2026-08-14
PLNUSD,0.7649867597967808,0.48580235,0.2689,2026-08-14
EURINR,0.7458635822058641,0.36449996,110.415,2026-08-14
CZKUSD,0.6976146657077761,0.39907786,0.0478,2026-08-14
EURMYR,0.6923319096562572,0.33979508,4.7248,2026-08-14
USDBRL,0.6711177078128111,0.65338564,5.2223,2026-08-14
AUDSGD,0.6531671410552343,0.276824,0.9056,2026-08-14
AUDHKD,0.6416696719807926,0.38662308,5.5565,2026-08-14
CADCHF,0.6324808915099034,0.29104334,0.5858,2026-08-14
AUDUSD,0.6319019397457369,0.38276592,0.7081,2026-08-14
GBPHKD,0.6203132919018722,0.3373862,10.617,2026-08-14
HUFUSD,0.6165448467326101,0.44094822,0.003189,2026-08-14
GBPUSD,0.6079151504251378,0.33370644,1.353,2026-08-14
HUFCHF,0.6031283234826802,0.34816515,0.002594,2026-08-14
GBPSGD,0.5709099178046182,0.23750016,1.7304,2026-08-14
XAUCHF,0.5611106552063277,0.5431687,3557.71,2026-08-14
XAUUSD,0.5499445137441886,0.591472,4375.89,2026-08-14
AUDCHF,0.5497252434908588,0.29611287,0.5758,2026-08-14
GBPCHF,0.5213001034111553,0.24604434,1.1001,2026-08-14
XAUJPY,0.4850189706864031,0.5161248,697016.0,2026-08-14
$STI,0.4648148576627741,0.41153556,5743.59,2026-08-14
%TYX,0.44914482493947677,0.9975071,5.265,2026-08-14
EURJPY,0.44749365435383276,0.25022653,184.29,2026-08-14
AUDZAR,0.4385973319335839,0.33217907,11.4474,2026-08-14
EURMXN,0.43543121747618757,0.32921556,19.687,2026-08-14
$DAX,0.4317279898698732,0.53449315,26440.31,2026-08-14
CADJPY,0.41860869231824316,0.2708112,114.78,2026-08-14
&GC_CCB,0.4026604654885279,0.38231614,4437.3,2026-08-14
$N225,0.3973462280978187,0.5931834,68713.8,2026-08-14
GBPMXN,0.38272130345443306,0.2984057,23.024,2026-08-14
AUDJPY,0.3767890400800433,0.2666694,112.8,2026-08-14
PLNEUR,0.3676573683413145,0.12925681,0.2324,2026-08-14
%TNX,0.36644490894993953,1.185096,4.696,2026-08-14
EURZAR,0.3661089032710947,0.31430236,18.7029,2026-08-14
SGDUSD,0.35451198347804364,0.102421395,0.7819,2026-08-14
GBPJPY,0.3269157042905702,0.21854423,215.53,2026-08-14
SEKEUR,0.32616594802818943,0.121265985,0.09082,2026-08-14
GBPZAR,0.31852197013590383,0.28333938,21.8731,2026-08-14
&KC_CCB,0.30267494540323486,1.5010507,338.1,2026-08-14
$AUDTWI,0.298850477933983,0.15266943,65.6,2026-08-14
SEKGBP,0.2887997057489242,0.14186275,0.07765,2026-08-14
%FVX,0.2786842757714916,1.1360952,4.362,2026-08-14
XAUEUR,0.24710785163714075,0.273129,3781.43,2026-08-14
JPYUSD,0.23493255950310005,0.11323686,0.0062775,2026-08-14
$W2DOW,0.22113719533253592,0.24158905,423.22,2026-08-14
XAUAUD,0.2134533772147729,0.24632087,6173.97,2026-08-14
ILSUSD,0.207471681877291,0.11841527,0.3382,2026-08-14
XAUGBP,0.20554257513280383,0.24318418,3231.77,2026-08-14
KRWUSD,0.2019031591958522,0.10208728,0.00070597,2026-08-14
CADGBP,0.20119167685751466,0.09393638,0.5328,2026-08-14
CHFUSD,0.17562549473029496,0.08951368,1.2299,2026-08-14
HUFEUR,0.1687321436753174,0.072595835,0.002757,2026-08-14
XAUCAD,0.16680796140594384,0.21067232,6069.68,2026-08-14
