Open,High,Low,Close,Volume,Open Interest,Symbol
90.81,95.45,90.7,94.65,0.0,0.0,BRN-2026X
88.63,92.11,88.4,91.57,325530.0,461491.0,BRN-2026Z
91.96,93.35,90.39,92.09,308678.0,0.0,BRN-2026Z
86.41,89.06,86.09,88.67,152952.0,210888.0,BRN-2027F
88.89,90.06,87.59,88.98,163787.0,0.0,BRN-2027F
84.53,86.58,84.1,86.25,78716.0,136002.0,BRN-2027G
86.35,87.4,85.26,86.39,77618.0,0.0,BRN-2027G
82.88,84.66,82.53,84.37,76759.0,118749.0,BRN-2027H
84.45,85.31,83.42,84.36,70729.0,0.0,BRN-2027H
81.69,83.13,81.28,82.87,33195.0,58042.0,BRN-2027J
82.82,83.71,81.97,82.73,26946.0,0.0,BRN-2027J
80.64,81.9,80.29,81.66,18157.0,54748.0,BRN-2027K
81.59,82.39,80.86,81.43,15415.0,0.0,BRN-2027K
79.84,80.91,79.43,80.67,60158.0,159510.0,BRN-2027M
80.62,81.36,79.85,80.37,54762.0,0.0,BRN-2027M
79.12,80.11,78.73,79.84,12512.0,37942.0,BRN-2027N
79.76,80.4,79.06,79.49,16295.0,0.0,BRN-2027N
78.39,79.42,78.24,79.13,13055.0,43717.0,BRN-2027Q
79.22,79.67,78.39,78.75,14243.0,0.0,BRN-2027Q
77.92,78.81,77.58,78.51,17638.0,68938.0,BRN-2027U
78.59,79.04,77.81,78.12,19613.0,0.0,BRN-2027U
77.53,78.25,77.11,77.97,4400.0,32991.0,BRN-2027V
78.04,78.43,77.31,77.57,5231.0,0.0,BRN-2027V
77.5,77.53,77.49,77.49,1864.0,38923.0,BRN-2027X
77.1,77.1,77.1,77.1,1257.0,0.0,BRN-2027X
76.63,77.38,76.29,77.05,43460.0,192685.0,BRN-2027Z
77.0,77.54,76.39,76.68,37267.0,0.0,BRN-2027Z
76.63,76.63,76.63,76.63,1192.0,36362.0,BRN-2028F
76.27,76.27,76.27,76.27,1025.0,0.0,BRN-2028F
76.24,76.24,76.24,76.24,1278.0,32245.0,BRN-2028G
75.9,75.9,75.9,75.9,1034.0,0.0,BRN-2028G
75.9,75.9,75.9,75.9,2516.0,34559.0,BRN-2028H
75.61,75.61,75.58,75.58,2600.0,0.0,BRN-2028H
75.59,75.59,75.59,75.59,419.0,7013.0,BRN-2028J
75.29,75.29,75.29,75.29,547.0,0.0,BRN-2028J
75.29,75.29,75.29,75.29,313.0,9641.0,BRN-2028K
75.32,75.32,75.03,75.03,422.0,0.0,BRN-2028K
74.72,75.34,74.47,75.01,11315.0,78431.0,BRN-2028M
75.11,75.44,74.51,74.77,10937.0,0.0,BRN-2028M
74.73,74.73,74.73,74.73,223.0,8081.0,BRN-2028N
74.51,74.51,74.51,74.51,554.0,0.0,BRN-2028N
74.47,74.47,74.47,74.47,1496.0,4961.0,BRN-2028Q
74.27,74.27,74.27,74.27,134.0,0.0,BRN-2028Q
74.22,74.22,74.22,74.22,3064.0,11647.0,BRN-2028U
74.04,74.04,74.04,74.04,440.0,0.0,BRN-2028U
73.98,73.98,73.98,73.98,1436.0,6565.0,BRN-2028V
73.82,73.82,73.82,73.82,157.0,0.0,BRN-2028V
73.74,73.74,73.74,73.74,353.0,6989.0,BRN-2028X
73.6,73.6,73.6,73.6,201.0,0.0,BRN-2028X
73.3,73.88,73.11,73.51,14969.0,116611.0,BRN-2028Z
73.52,73.89,73.12,73.39,11823.0,0.0,BRN-2028Z
73.27,73.27,73.27,73.27,250.0,4698.0,BRN-2029F
73.17,73.17,73.17,73.17,136.0,0.0,BRN-2029F
73.07,73.07,73.07,73.07,91.0,4582.0,BRN-2029G
72.98,72.98,72.98,72.98,96.0,0.0,BRN-2029G
