rsi_status,symbol,chart_title,alt_text,filename,rsi_value
OVERSOLD,%TNX,10-Year Treasury Yield with 14-day RSI: 26.09,10-Year Treasury Yield RSI Chart,rsi_%TNX.png,26.09
OVERBOUGHT,&GC_CCB,Gold with 14-day RSI: 84.54,Gold RSI Chart,rsi_&GC_CCB.png,84.54
OVERBOUGHT,$STI,Straits Times Index with 14-day RSI: 86.58,Straits Times Index RSI Chart,rsi_$STI.png,86.58
OVERBOUGHT,&ZN_CCB,10-Year T-Note with 14-day RSI: 73.03,10-Year T-Note RSI Chart,rsi_&ZN_CCB.png,73.03
OVERBOUGHT,&SI_CCB,Silver with 14-day RSI: 73.07,Silver RSI Chart,rsi_&SI_CCB.png,73.07
OVERSOLD,&KE_CCB,Wheat (KC Hard Red) with 14-day RSI: 18.46,Wheat (KC Hard Red) RSI Chart,rsi_&KE_CCB.png,18.46
OVERBOUGHT,&KC_CCB,Coffee with 14-day RSI: 70.54,Coffee RSI Chart,rsi_&KC_CCB.png,70.54
OVERBOUGHT,CNYUSD,Chinese Yuan / US Dollar with 14-day RSI: 79.47,Chinese Yuan / US Dollar RSI Chart,rsi_CNYUSD.png,79.47
OVERSOLD,%IRX,3-Month T-Bill Yield with 14-day RSI: 15.65,3-Month T-Bill Yield RSI Chart,rsi_%IRX.png,15.65
OVERSOLD,%FVX,5-Year Treasury Yield with 14-day RSI: 24.90,5-Year Treasury Yield RSI Chart,rsi_%FVX.png,24.90
OVERSOLD,MSFT,Microsoft with 14-day RSI: 26.25,Microsoft RSI Chart,rsi_MSFT.png,26.25
OVERBOUGHT,GOOG,Google with 14-day RSI: 83.47,Google RSI Chart,rsi_GOOG.png,83.47
OVERSOLD,NVDA,NVIDIA with 14-day RSI: 29.15,NVIDIA RSI Chart,rsi_NVDA.png,29.15
