Symbol,Z-Score,Daily Return (%),Close,Date
&NG_CCB,4.3048171872580205,10.086738,3.427,2025-05-20
&PL_CCB,3.3001740356035847,4.920966,1055.4,2025-05-20
XAUAUD,2.7283344063554584,2.398149,5118.73,2025-05-20
CHFAUD,2.0375204912524976,1.2600942,1.8804,2025-05-20
&GC_CCB,1.9941531001282427,1.580334,3284.6,2025-05-20
XAUJPY,1.9668317036533145,1.6290475,475378.0,2025-05-20
XAGAUD,1.8799647254200593,2.8565726,51.49,2025-05-20
XAUCAD,1.8322091705171464,1.6340435,4577.77,2025-05-20
XAUEUR,1.8134379443522193,1.5227748,2915.46,2025-05-20
ZARAUD,1.7813255048920518,1.4002397,0.0869,2025-05-20
XAUGBP,1.7717119434120845,1.661813,2456.18,2025-05-20
CADAUD,1.69747029818938,0.7842796,1.118,2025-05-20
&KE_CCB,1.6930969004281404,2.5824964,536.25,2025-05-20
EURAUD,1.5711747229674113,0.873457,1.7554,2025-05-20
CHFUSD,1.522144151138156,0.7425888,1.2074,2025-05-20
USDHKD,1.5131140541885593,0.06520365,7.8264,2025-05-20
CHFNZD,1.4116073183104394,0.85682386,2.0364,2025-05-20
GBPAUD,1.3831761291129736,0.7883519,2.0839,2025-05-20
$OMNX40,1.3568593398400548,1.5433165,2431.8,2025-05-20
&SI_CCB,1.3552335951002197,2.0518641,3317.4,2025-05-20
XAUCHF,1.352666812699574,1.1182127,2724.62,2025-05-20
XAGGBP,1.3292076650293483,2.1496427,24.71,2025-05-20
XAGCAD,1.3235206058371918,2.106432,46.05,2025-05-20
$IBEX,1.2808250144533915,1.591605,14323.4,2025-05-20
XAGJPY,1.262025470833144,2.0899282,4781.79,2025-05-20
XAGEUR,1.238791062926908,1.9819183,29.33,2025-05-20
CHFEUR,1.1831662983757598,0.38457602,1.0702,2025-05-20
NZDAUD,1.1687504114191432,0.4352092,0.9231,2025-05-20
SGDAUD,1.1106648451596568,0.51809776,1.2029,2025-05-20
$HS,1.0566853699256091,1.4947239,23681.48,2025-05-20
JPYAUD,1.0398734758323178,0.7656814,0.0107782,2025-05-20
$TWMSCI,1.0205053949653105,1.2853636,908.55,2025-05-21
EURINR,1.0191044225827308,0.532382,96.495,2025-05-20
CHFJPY,1.0190024705857519,0.5302889,174.41,2025-05-20
EURSGD,1.0181602698243826,0.3572675,1.4607,2025-05-20
XAGCHF,0.9856471517161319,1.5937743,27.41,2025-05-20
PLNUSD,0.9711487480143177,0.6422418,0.2664,2025-05-20
EURMYR,0.9444423497884917,0.5436423,4.8456,2025-05-20
$FT100,0.9298411355965487,0.9404258,8781.12,2025-05-20
ZARUSD,0.9077721647383147,0.86799264,0.05578,2025-05-20
CHFNOK,0.9018347158080523,0.6158639,12.3675,2025-05-20
CHFCAD,0.8806799438970399,0.47234675,1.6804,2025-05-20
EURHKD,0.8771182875005631,0.4208111,8.8297,2025-05-20
CHFGBP,0.8605558206316054,0.47921523,0.9016,2025-05-20
$XIN0,0.8400309417389841,1.4132863,16330.48,2025-05-20
DKKUSD,0.8218983161836265,0.39813885,0.1513,2025-05-20
USDAUD,0.7932164454011155,0.51632994,1.5574,2025-05-20
EURNZD,0.7885844361181759,0.44324645,1.9035,2025-05-20
CHFHUF,0.7638133948433655,0.4670933,430.18,2025-05-20
EURUSD,0.7333682837417675,0.3558146,1.1282,2025-05-20
USDKRW,0.7201177701406155,0.4035525,1393.3,2025-05-20
USDCLP,0.7187090345406865,0.59966445,942.81,2025-05-20
$E3X,0.7063134484529772,0.7456027,2198.4,2025-05-20
HKDAUD,0.7021552090179206,0.45431614,0.199,2025-05-20
SEKUSD,0.6838958590189986,0.43524536,0.10384,2025-05-20
&ZC_CCB,0.6757492027869242,1.5642458,454.5,2025-05-20
PLNEUR,0.6749908039654928,0.2547814,0.2361,2025-05-20
ZARGBP,0.6683397826110551,0.603866,0.04165,2025-05-20
EURTWD,0.6422043636674766,0.3098246,33.995,2025-05-20
$FTSEMIB,0.6138050305791709,0.8854879,40522.44,2025-05-20
$CAC,0.6079968781199792,0.74572295,7942.42,2025-05-20
GBPNZD,0.6058151378154097,0.35529312,2.2597,2025-05-20
ZAREUR,0.6007591997845277,0.52856106,0.04945,2025-05-20
GBPSGD,0.587339980036671,0.2717831,1.734,2025-05-20
$KO,0.5869499415026463,0.68008065,349.38,2025-05-21
GBPHKD,0.578600461630271,0.33502614,10.4819,2025-05-20
CADUSD,0.5356588763045764,0.23712988,0.7186,2025-05-20
